127.0.0.1 - - [09/Dec/2022:18:01:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:48 +0900] "GET /myapp/ HTTP/1.1" 200 12278
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:48 +0900] "GET /myapp/resources/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:48 +0900] "GET /myapp/resources/icon/email-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:48 +0900] "GET /myapp/resources/icon/twitter-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:48 +0900] "GET /myapp/resources/icon/facebook-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:48 +0900] "GET /myapp/resources/icon/youtube-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:01:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:10 +0900] "GET /myapp/board/list.do HTTP/1.1" 200 11651
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:10 +0900] "GET /myapp/board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:10 +0900] "GET /myapp/resources/icon/youtube-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:10 +0900] "GET /myapp/resources/icon/email-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:10 +0900] "GET /myapp/resources/icon/twitter-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:10 +0900] "GET /myapp/resources/icon/facebook-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:14 +0900] "GET /myapp/free/list.do HTTP/1.1" 200 8639
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:14 +0900] "GET /myapp/free/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:14 +0900] "GET /myapp/resources/icon/email-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:14 +0900] "GET /myapp/resources/icon/facebook-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:14 +0900] "GET /myapp/resources/icon/youtube-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:14 +0900] "GET /myapp/resources/icon/twitter-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:18 +0900] "GET /myapp/board/list.do HTTP/1.1" 200 11651
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:18 +0900] "GET /myapp/board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:18 +0900] "GET /myapp/resources/icon/facebook-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:18 +0900] "GET /myapp/resources/icon/email-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:18 +0900] "GET /myapp/resources/icon/twitter-icon.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2022:18:02:18 +0900] "GET /myapp/resources/icon/youtube-icon.svg HTTP/1.1" 404 721
